united states,tag,,,currency,id,,symbol
united states,,,,,,,BOND
united states,sentinel-protocol,,,USD,1089398,,UPP
united states,,,,,,,STPT
united states,,,,,,,UNFI
united states,,,,,,,ID
united states,nexus,,,USD,1062549,,NXS
united states,kucoin-shares,,,USD,1058295,,KCS
united states,,,,,,,HPT
united states,,,,,,,YFII
united states,,,,,,,FRONT
united states,firo,,,USD,1066642,,FIRO
united states,,,,,,,RING
united states,arpa-chain,,,USD,1163458,,ARPA
united states,,,,,,,VSP
united states,,,,,,,BDP
united states,,,,,,,ALBT
united states,,,,,,,CRU
united states,,,,,,,STAKE
united states,airswap,,,USD,1061491,,AST
united states,endor-protocol,,,USD,1089475,,EDR
united states,,,,,,,OXEN
united states,,,,,,,LCX
united states,nuls,,,USD,1061520,,NULS
united states,,,,,,,DX
united states,,,,,,,VID
united states,function-x,,,USD,1156567,,FX
united states,,,,,,,API3
united states,,,,,,,NEST
united states,,,,,,,PXL
united states,waykichain,,,USD,1093970,,WICC
united states,pivx,,,USD,1066627,,PIVX
united states,,,,,,,DDIM
united states,rchain,,,USD,1066654,,REV
united states,,,,,,,BOA
united states,constellation,,,USD,1088163,,DAG
united states,,,,,,,OBSR
united states,,,,,,,BURGER
united states,,,,,,,CREAM
united states,,,,,,,MOC
united states,,,,,,,AERGO
united states,,,,,,,YLD
united states,,,,,,,NWC
united states,,,,,,,FXS
united states,,,,,,,FLM
united states,switcheo,,,USD,1077100,,SWTH
united states,phoenix-global,,,USD,1066665,,PHB
united states,,,,,,,POND
united states,dragonchain,,,USD,1061772,,DRGN
united states,,,,,,,AXEL
united states,,,,,,,JUL
united states,,,,,,,DEXE
united states,,,,,,,PROM
united states,,,,,,,SPARTA
united states,,,,,,,BDX
united states,,,,,,,BMI
united states,,,,,,,MXC
united states,,,,,,,AUCTION
united states,pnetwork,,,USD,1057124,,PNT
united states,,,,,,,NEX
united states,,,,,,,MEME
united states,fusion,,,USD,1071158,,FSN
united states,,,,,,,vETH
united states,,,,,,,HXRO
united states,,,,,,,TRB
united states,groestlcoin,,,USD,1061865,,GRS
united states,,,,,,,PERL
united states,,,,,,,SENT
united states,,,,,,,N8V
united states,,,,,,,QC
united states,quantstamp,,,USD,1061789,,QSP
united states,,,,,,,MAPS
united states,cindicator,,,USD,1061522,,CND
united states,,,,,,,MX
united states,,,,,,,GHST
united states,fio-protocol,,,USD,1165349,,FIO
united states,cortex,,,USD,1089267,,CTXC
united states,,,,,,,LYXe
united states,ripio-credit-network,,,USD,1061810,,RCN
united states,cocos-bcx,,,USD,1152979,,COCOS
united states,,,,,,,SWINGBY
united states,,,,,,,KYL
united states,,,,,,,RAD
united states,,,,,,,IDEX
united states,sport-and-leisure,,,USD,1142339,,SNL
united states,measurable-data-token,,,USD,1066728,,MDT
united states,,,,,,,BSCPAD
united states,,,,,,,TMTG
united states,einsteinium,,,USD,1066646,,EMC2
united states,v-systems,,,USD,1141873,,VSYS
united states,,,,,,,BAR
united states,aeternity,,,USD,1061499,,AE
united states,,,,,,,DEXT
united states,,,,,,,HUM
united states,,,,,,,XPR
united states,,,,,,,XDB
united states,,,,,,,ERG
united states,,,,,,,KDA
united states,,,,,,,GET
united states,gamecredits,,,USD,1064944,,GAME
united states,,,,,,,MARO
united states,,,,,,,VIDT
united states,,,,,,,XLT
united states,aurora,,,USD,1094124,,AOA
united states,,,,,,,WING
united states,zap,,,USD,1071970,,ZAP
united states,gxchain,,,USD,1066648,,GXC
united states,,,,,,,TITAN
united states,vite,,,USD,1094113,,VITE
united states,,,,,,,ESD
united states,melon,,,USD,1061524,,MLN
united states,,,,,,,AQT
united states,,,,,,,TRU
united states,,,,,,,VRA
united states,,,,,,,ARRR
united states,,,,,,,FXF
united states,,,,,,,AUTO
united states,lockchain,,,USD,1071734,,LOC
united states,lympo,,,USD,1094058,,LYM
united states,stasis-euro,,,USD,1094188,,EURS
united states,,,,,,,CVP
united states,dock,,,USD,1116262,,DOCK
united states,,,,,,,DUCK
united states,,,,,,,TORN
united states,kleros,,,USD,1089388,,PNK
united states,nebulas-token,,,USD,1061471,,NAS
