country,name,full_name,symbol,,id,,tag
germany,BNP DJ Stoxx 600 Cyclical Goods Ser,BNP Paribas Arbitrage Issuance B.V. ZT Dow Jones Stoxx 600 Cyclical Goods Services Price EUR 31Dec99,DE827430,,1119020,,bnp-dj-stoxx-600-cyclical-goods-ser
germany,Bayerische Gold 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT Gold 31Dec99,DEHV2XAU,,1118019,,bayerische-gold-31dec99
germany,Bayerische DAX Index 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT DAX Index 31Dec99,DEHY1Y7L,,1119006,,bayerische-dax-index-31dec99
germany,Vontobel Call 30.7 EUR Unilever,Vontobel Call 30.7 EUR Unilever N.V. 31Dec99,DEVZ716B,,1118975,,vontobel-call-30.7-eur-unilever
germany,CB Call 10.2429 ZAR USD/ZAR,COMMERZBANK AG Call 10.2429 ZAR USD/ZAR Spot Rate 31Dec99,DECE8NK7,,1118983,,cb-call-10.2429-zar-usd-zar
germany,CB Call 0.5758 AUD/USD 31Dec99,COMMERZBANK AG Call 0.5758 AUD/USD 31Dec99,DECE6M8S,,1118982,,cb-call-0.5758-aud-usd-31dec99
germany,BNP Put EUR/USD 31Dec99,BNP Put EUR/USD 31Dec99,DEAA0XYR,,1118981,,bnp-put-eur-usd-31dec99
germany,BNP Call Chile Inter 10 Index,BNP Paribas Arbitrage Issuance B.V. Call Chile Inter 10 Index 31Dec99,DEAA0C4K,,1119014,,bnp-call-chile-inter-10-index
germany,BNP ZT DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT DAX Idx 31Dec99,DE768918,,1119024,,bnp-zt-dax-31dec99
germany,BNP Call CECE Composite Euro,BNP Paribas Arbitrage Issuance B.V. Call CECE Composite Euro 31Dec99,DEABN0EW,,1119013,,bnp-call-cece-composite-euro
germany,BNP ZT DAXplus MV Germany TR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Minimum Variance Germany EUR Total Return Index 31Dec,DEAA0KFZ,,1119028,,bnp-zt-daxplus-mv-germany-tr
germany,BNP ZT RBS HUF TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS HUF Total Return Index 31Dec99,DE918607,,1119033,,bnp-zt-rbs-huf-tr-index-31dec99
germany,BNP Call CASE 30 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call CASE 30 31Dec99,DEABN1EJ,,1119012,,bnp-call-case-30-31dec99
germany,DE000DB3WT13,Deutsche Bank AG ZT WTI Light Sweet Crude Oil Future 30Dec99,DEDB3WT1,,1161003,,de000db3wt13
germany,DZ ZT Silber Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Silber 31Dec99,DEDZ0B77,,1118231,,dz-zt-silber-endlos-31dec99
germany,DB Brent Crude Oil 31Dec99,Deutsche Bank AG ZT Brent Crude Oil 31Dec99,DEDB3CTQ,,1118216,,db-brent-crude-oil-31dec99
germany,DZ ZT Gold Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Gold 31Dec99,DEDZ0B66,,1118227,,dz-zt-gold-endlos-31dec99
germany,DZ Call BrentOel Quanto Endlos,DZ BANK AG Call DZ BANK BestCommodity BrentOel Index 31Dec99,DEDZ2X4Q,,1119239,,dz-call-brentoel-quanto-endlos
germany,Dresdner Bank Composite Easter,Dresdner Bank ZT CECE USD - Composite Eastern European Price Index 31Dec99,DE635186,,1119214,,dresdner-bank-composite-easter
germany,Bayerische Silber 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT Silber 31Dec99,DEHV2XAG,,1118196,,bayerische-silber-31dec99
germany,UBS Call DAX 31Dec99,UBS Deutschland AG Call DAX 31Dec99,DE550479,,1119384,,ubs-call-dax-31dec99
germany,CB ZT E.ON Long x3 31Dec99,Commerzbank AG ZT E.ON 31Dec99,DECZ24PM,,1118704,,cb-zt-e.on-long-x3-31dec99
germany,DZ ZT Kupfer LME Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Kupfer LME 31Dec99,DEDZ0CDD,,1118229,,dz-zt-kupfer-lme-endlos-31dec99
germany,CB ZT Nokia Long x3 31Dec99,Commerzbank AG ZT Nokia 31Dec99,DECZ327H,,1118728,,cb-zt-nokia-long-x3-31dec99
germany,BNP ZT RBS TRY TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS TRY Total Return Index 31Dec99,DE918722,,1119034,,bnp-zt-rbs-try-tr-index-31dec99
germany,BNP Call MSCI Chile Net TR USD,BNP Paribas Arbitrage Issuance B.V. Call MSCI Chile Net TR USD 31Dec99,DEAA2RDE,,1119015,,bnp-call-msci-chile-net-tr-usd
germany,BNP ZT RICI Energy ER 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RICI Energy ER 31Dec99,DEAA0QL7,,1119037,,bnp-zt-rici-energy-er-31dec99
germany,BNP ZT RBS ZAR TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS ZAR Total Return Index 31Dec99,DE918556,,1119036,,bnp-zt-rbs-zar-tr-index-31dec99
germany,BNP ZT RBS Vietnam II TR Index,BNP Paribas Arbitrage Issuance B.V. ZT RBS Vietnam II Total Return Index 31Dec99,DEAA01WG,,1119035,,bnp-zt-rbs-vietnam-ii-tr-index
germany,Bayerische DJ UBS Crude Oil 3M TR,Bayerische Hypo-und Vereinsbank AG ZT Dow Jones-UBS Crude Oil Subindex 3 Month Forward Total Return,DEHV5BKP,,1119007,,bayerische-dj-ubs-crude-oil-3m-tr
germany,BNP Call 2260.19 China Enterprises,BNP Paribas Arbitrage Issuance B.V. Call 2260.19 HKD Hang Seng China Enterprises 31Dec99,DE342602,,1119008,,bnp-call-2260.19-china-enterprises
germany,BNP Call 2457 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2457 EUR DAX 31Dec99,DE721792,,1119009,,bnp-call-2457-eur-dax-31dec99
germany,BNP Call 2730 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2730 EUR DAX 31Dec99,DE721791,,1119010,,bnp-call-2730-eur-dax-31dec99
germany,DZ ZT Kupfer LME 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Kupfer LME 31Dec99,DEDZ0CEE,,1118228,,dz-zt-kupfer-lme-31dec99
germany,BNP Call 466.07 NYSE Arca Biotechno,BNP Paribas Arbitrage Issuance B.V. Call 466.07 USD NYSE Arca Biotechnology Index 31Dec99,DE167484,,1119011,,bnp-call-466.07-nyse-arca-biotechno
italy,Vontobel Call VT 7XL DJ 5.71,Vontobel Financial Products GmbH Call VT 7XL DJ 5.71 18Dec20,DEVN9C36,,1121072,,vontobel-call-vt-7xl-dj-5.71
italy,BNP Call Eurex DAX Future 15Dec21,BNP PARIBAS ISSUANCE Call Eurex DAX Index Future Continuation 1 15Dec21,NL266641,,1120605,,bnp-call-eurex-dax-future-15dec21
italy,Vontobel Put 7X Short Natural GasV4,Vontobel Financial Products GmbH Put 7X Short Index linked to Natural Gas (Henry Hub) Future V4 18De,DEVN9KLD,,1121091,,vontobel-put-7x-short-natural-gasv4
italy,Vontobel Call VT 7XL SP 500 18Dec20,Vontobel Call VT 7XL SP 500 18Dec20,DEVN9AA1,,1121078,,vontobel-call-vt-7xl-sp-500-18dec20
italy,Vontobel Call 3X Long UniCr 16Jun23,Vontobel Financial Products GmbH Call 3X Long Index linked to UniCredit SpA 16Jun23,DEVN9D04,,1121044,,vontobel-call-3x-long-unicr-16jun23
italy,Vontobel Put VT 7XS Wheat 18Dec20,Vontobel Put VT 7XS Wheat 18Dec20,DEVN9ACH,,1121118,,vontobel-put-vt-7xs-wheat-18dec20
italy,Vontobel Call VT 7XL XPD 18Dec20,Vontobel Call VT 7XL XPD 18Dec20,DEVN9AB3,,1121082,,vontobel-call-vt-7xl-xpd-18dec20
italy,BNP CALL FTSE MIB Future 19Mar21,BNP PARIBAS ISSUANCE CALL Milan Stock Exchange FTSE MIB Index Future 19Mar21,NL266387,,1120619,,bnp-call-ftse-mib-future-19mar21
italy,Bnp Iss - Isp 21Nv23,Bnp Iss - Isp 21Nv23,XS1859575604,,1159060,,bnp-iss-isp-21nv23
italy,Vontobel Call VT 7XL Nasdaq 100,Vontobel Call VT 7XL Nasdaq 100 18Dec20,DEVN9AA5,,1121076,,vontobel-call-vt-7xl-nasdaq-100
italy,Vontobel Call 7X Long Corn,Vontobel Financial Products GmbH Call 7X Long Index linked to Corn Future 18Dec20,DEVN9KLH,,1121049,,vontobel-call-7x-long-corn
italy,ALETTI 181007 STOXX Div 30 15Sep23,BANCA ALETTI & C ZT 1810.07 EUR EURO STOXX Select Dividend 30 INDEX 15Sep23,IT521251,,1120382,,aletti-181007-stoxx-div-30-15sep23
italy,Vontobel Put VT 7XS XAG 18Dec20,Vontobel Put VT 7XS XAG 18Dec20,DEVN9ABT,,1121119,,vontobel-put-vt-7xs-xag-18dec20
italy,Vontobel 4X Short on MIB,Vontobel Financial Products GmbH Fixed Lever 4X Short on MIB,DEVN9AAP,,1121013,,vontobel-4x-short-on-mib
italy,SG EURO STOXX 50 Short 5 GR 18Jun21,SG Issuer SA ZT EURO STOXX 50 Daily Short 5 USD GR Index 18Jun21,LU940070,,1121125,,sg-euro-stoxx-50-short-5-gr-18jun21
italy,Vontobel Call VT 7XL XAU 18Dec20,Vontobel Call VT 7XL XAU 18Dec20,DEVN9ABM,,1121081,,vontobel-call-vt-7xl-xau-18dec20
italy,Vontobel Put VT 5XS Coffee 2,Vontobel Put VT 5XS Coffee 2 18Dec20,DEVN9AB8,,1121099,,vontobel-put-vt-5xs-coffee-2
italy,Vontobel 5X Short on MIB,Vontobel Financial Products GmbH Fixed Lever 5X Short on MIB,DEVN9AAQ,,1121018,,vontobel-5x-short-on-mib
italy,Vontobel Put VT 7XS XAU 18Dec20,Vontobel Put VT 7XS XAU 18Dec20,DEVN9ABP,,1121120,,vontobel-put-vt-7xs-xau-18dec20
italy,BNP Zt 13074 Intesa SanPaolo 28Aug2,BNP PARIBAS ISSUANCE Zt 2.179 EUR Intesa SanPaolo SpA 28Aug20,NL303053,,1120291,,bnp-zt-13074-intesa-sanpaolo-28aug2
italy,Vontobel Put VT 3XS NOKIA 3 16Jun23,Vontobel Financial Products GmbH Put VT 3XS NOKIA 3 Index 16Jun23,DEVN9D0V,,1121097,,vontobel-put-vt-3xs-nokia-3-16jun23
italy,SG GOLD X7 LONG 18Jun21,SG ISSUER ZT GOLD X7 LONG 18Jun21,LU416992,,1120997,,sg-gold-x7-long-18jun21
italy,Vontobel 7X Long on Cocoa 9.09,Vontobel Financial Products GmbH 7X Long Fixed Lever on Cocoa 9.09,DEVN9BMB,,1121021,,vontobel-7x-long-on-cocoa-9.09
italy,BNP Put 29450 EUR FTSE MIB 18Dec20,BNP PARIBAS ISSUANCE Put 29450 EUR FTSE MIB Index 18Dec20,NL266723,,1120466,,bnp-put-29450-eur-ftse-mib-18dec20
italy,Vontobel Call VT 3XL TIT 16Jun23,Vontobel Financial Products GmbH Call VT 3XL TIT Index 16Jun23,DEVN9D00,,1121058,,vontobel-call-vt-3xl-tit-16jun23
italy,SG FTSE MIB TR 5x Daily RT 18Jun21,SG Issuer SA ZT FTSE MIB TR 5x Daily Leveraged RT Net-Of-Tax (Lux) Index 18Jun21,LU940045,,1120993,,sg-ftse-mib-tr-5x-daily-rt-18jun21
italy,SG GOLD X7 SHORT 18Jun21,SG ISSUER ZT GOLD X7 SHORT 18Jun21,LU417000,,1120998,,sg-gold-x7-short-18jun21
italy,Vontobel 7X Short linked to DAX,Vontobel 7X Short linked to DAX,DEVN9AAB,,1120424,,vontobel-7x-short-linked-to-dax
italy,Vontobel Put VT 5XS XAG 3 18Dec20,Vontobel Put VT 5XS XAG 3 18Dec20,DEVN9ABS,,1121106,,vontobel-put-vt-5xs-xag-3-18dec20
italy,Vontobel Call VT 7XL Corn 18Dec20,Vontobel Call VT 7XL Corn 18Dec20,DEVN9ACB,,1121070,,vontobel-call-vt-7xl-corn-18dec20
italy,Vontobel 7X Long linked to DAX,Vontobel 7X Long linked to DAX,DEVN9AAA,,1120420,,vontobel-7x-long-linked-to-dax
italy,Vontobel Put VT 7XS SP 500 18Dec20,Vontobel Put VT 7XS SP 500 18Dec20,DEVN9AA3,,1121116,,vontobel-put-vt-7xs-sp-500-18dec20
italy,SG 25.06.21 FTSE x5 Short,SG Issuer SA 25.06.21 FTSE x5 Short,LU940053,,1120985,,sg-25.06.21-ftse-x5-short
italy,Vontobel 7X Long on Coffee 10.74,Vontobel Financial Products GmbH 7X Long Fixed Lever on Coffee 10.74,DEVN9CG5,,1121022,,vontobel-7x-long-on-coffee-10.74
italy,BNP Put FTSE MIB Future 17Dec21,BNP PARIBAS ISSUANCE Put Milan Stock Exchange FTSE MIB Index Future 17Dec21,NL266640,,1120616,,bnp-put-ftse-mib-future-17dec21
italy,Vontobel Put VT 7XS Coffee 18Dec20,Vontobel Put VT 7XS Coffee 18Dec20,DEVN9AB9,,1121107,,vontobel-put-vt-7xs-coffee-18dec20
italy,Vontobel 5X Long Fixed Lever on MIB,Vontobel Financial Products GmbH 5X Long Fixed Lever on MIB,DEVN9AAL,,1121014,,vontobel-5x-long-fixed-lever-on-mib
italy,Uni Put Italia Leva 7 Short 16Oct20,UniCredit Bank AG Put Italia Leva 7 Short 16Oct20,DEHV40B6,,1120943,,uni-put-italia-leva-7-short-16oct20
italy,Uni Put Italia Leva 7 Short 15Oct21,UniCredit Bank AG Put Italia Leva 7 Short 15Oct21,DEHV42GD,,1120942,,uni-put-italia-leva-7-short-15oct21
italy,SG S&P 500 TR 01Apr21,SG ISSUER ZT S&P 500 TR 01Apr21,LU137671,,1121129,,sg-s-p-500-tr-01apr21
italy,SG SLVR X7 SHORT 18Jun21,SG ISSUER ZT SLVR X7 SHORT 18Jun21,LU417077,,1121006,,sg-slvr-x7-short-18jun21
italy,BNP Put Eurex DAX Future 15Dec21,BNP PARIBAS ISSUANCE Put Eurex DAX Index Future Continuation 1 15Dec21,NL266642,,1120602,,bnp-put-eurex-dax-future-15dec21
italy,Vontobel Put 3X Short Tesla 16Jun23,Vontobel Financial Products GmbH Put 3X Short Index linked to Tesla Motors Inc. 16Jun23,DEVN9D1B,,1121088,,vontobel-put-3x-short-tesla-16jun23
italy,Uni Call Italia X 7 Long 15Oct21,UniCredit Bank AG Call Italia X 7 Long Index 15Oct21,DEHV41JE,,1120930,,uni-call-italia-x-7-long-15oct21
italy,Bayerische Call ShortDAX x7 22Oct21,Bayerische Hypo-und Vereinsbank AG Call ShortDAX x7 (Total Return) (EUR) Index 22Oct21,DEHV42GC,,1120400,,bayerische-call-shortdax-x7-22oct21
italy,Vontobel 7X Short su Cacao,Vontobel Financial Products GmbH Leva Fissa 7X Short su Cacao,DEVN9DZU,,1121035,,vontobel-7x-short-su-cacao
italy,Vontobel Put VT 5XS Nasdaq 199,Vontobel Put VT 5XS Nasdaq 199 18Dec20,DEVN9AA6,,1121102,,vontobel-put-vt-5xs-nasdaq-199
italy,LU2158823141,SG ISSUER ZT GAS X7 LONG 18Jun21,LU019080,,1161335,,lu2158823141
italy,BNP PUT FTSE MIB Future 19Mar21,BNP PARIBAS ISSUANCE PUT Milan Stock Exchange FTSE MIB Index Future 19Mar21,NL266388,,1120617,,bnp-put-ftse-mib-future-19mar21
