country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,Vanguard FTSE Developed Europe,Vanguard FTSE Developed Europe UCITS,,vanguard-ftse-developed-europe?cid=976558,976558,IE00B945VV12,VEUR,GBP,London,FALSE
united kingdom,Vanguard FTSE Japan USD,Vanguard FTSE Japan UCITS,,vanguard-ftse-japan-l-usd?cid=986871,986871,IE00B95PGT31,VJPN,GBP,London,FALSE
united kingdom,Vanguard FTSE Dev Europe x UK,Vanguard FTSE Developed Europe ex UK UCITS,,vanguard-ftse-dev-europe-x-uk-l,986867,IE00BKX55S42,VERX,GBP,London,TRUE
united kingdom,Vanguard Global Momentum Factor,Vanguard Global Momentum Factor UCITS,,vanguard-global-momentum-factor-l,986879,IE00BYYR0935,VMOM,GBP,London,TRUE
united kingdom,Vanguard FTSE Emerging Markets UCITS USD Inc,Vanguard FTSE Emerging Markets UCITS,,vanguard-ftse---emerging-markets?cid=986870,986870,IE00B3VVMM84,VDEM,USD,London,FALSE
united kingdom,Vanguard FTSE All-World UCITS USD Inc,Vanguard FTSE All-World UCITS,,vanguard-ftse-all-world?cid=986864,986864,IE00B3RBWM25,VWRD,USD,London,FALSE
united kingdom,Vanguard Global Value Factor,Vanguard Global Value Factor UCITS USD,,vanguard-global-value-factor-l?cid=986881,986881,IE00BYYR0B57,VDVA,USD,London,FALSE
united kingdom,Vanguard FTSE Japan USD,Vanguard FTSE Japan UCITS,,vanguard-ftse-japan-l-usd,986872,IE00B95PGT31,VDJP,USD,London,TRUE
united kingdom,Vanguard FTSE All-World High Div Yld,Vanguard FTSE All-World High Dividend Yield UCITS USD,,vanguard-ftse-all-wld-high-div-yd-l,986862,IE00B8GKDB10,VHYL,GBP,London,TRUE
united kingdom,Vanguard FTSE Developed Asia Pacif,Vanguard FTSE Developed Asia Pacific ex Japan UCITS,,vanguard-ftse-developed-asia-pacif?cid=986865,986865,IE00B9F5YL18,VAPX,GBP,London,FALSE
united kingdom,Vanguard USD Treasury Bd,Vanguard USD Treasury Bond UCITS USD,,vanguard-usd-treasury-bd-l,986885,IE00BZ163M45,VUTY,GBP,London,TRUE
united kingdom,Vanguard FTSE Developed Asia Pacif,Vanguard FTSE Developed Asia Pacific ex Japan UCITS,,vanguard-ftse-developed-asia-pacif?cid=986866,986866,IE00B9F5YL18,VDPX,USD,London,FALSE
united kingdom,Uk Gilt UCITS,Uk Gilt UCITS,,vanguard-uk-government-bond,45747,IE00B42WWV65,VGOV,GBP,London,TRUE
united kingdom,Vanguard Eurozone Government Bond,Vanguard EUR Eurozone Government Bond UCITS,,vanguard-eurozone-government-bond?cid=1024539,1024539,IE00BZ163H91,VETY,GBP,London,FALSE
united kingdom,Vanguard USD EM Government Bond,Vanguard USD Emerging Markets Government Bond UCITS,,vanguard-usd-em-government-bond,1024535,IE00BZ163L38,VEMT,GBP,London,TRUE
united kingdom,Vanguard Euro STOXX 50,Vanguard Euro STOXX 50 UCITS,,vanguard-euro-stoxx-50,1054699,IE00BF4R5F15,VX5E,GBP,London,TRUE
united kingdom,Vanguard FTSE All-World UCITS USD Inc,Vanguard FTSE All-World UCITS,,vanguard-ftse-all-world,45661,IE00B3RBWM25,VWRL,GBP,London,TRUE
united kingdom,Vanguard FTSE All-World High Div Yld,Vanguard FTSE All-World High Dividend Yield UCITS USD,,vanguard-ftse-all-wld-high-div-yd-l?cid=986863,986863,IE00B8GKDB10,VHYD,USD,London,FALSE
united kingdom,Vanguard USD Corp Bd,Vanguard USD Corporate Bond UCITS USD,,vanguard-usd-corporate-bd-l?cid=986884,986884,IE00BZ163K21,VDCP,USD,London,FALSE
united kingdom,Vanguard Global Min Volatility,Vanguard Global Minimum Volatility UCITS USD,,vanguard-global-min-volatility-l,986877,IE00BYYR0C64,VMVL,GBP,London,TRUE
united kingdom,Vanguard FTSE Dev World,Vanguard FTSE Developed World UCITS,,vanguard-ftse-developed-world-l,986869,IE00BKX55T58,VEVE,GBP,London,TRUE
united kingdom,Vanguard Global Value Factor,Vanguard Global Value Factor UCITS USD,,vanguard-global-value-factor-l,986880,IE00BYYR0B57,VVAL,GBP,London,TRUE
united kingdom,Vanguard USD Corp Bd,Vanguard USD Corporate Bond UCITS USD,,vanguard-usd-corporate-bd-l,986883,IE00BZ163K21,VUCP,GBP,London,TRUE
