country,name,full_name,tag,,id,currency,symbol,market
world,WTI Oil Futures 2x Short,WTI Oil Futures 2x Short,wtif-2xs,,954072,USD,X0B6,global_indices
world,Natural Gas Futures 2x Short,Natural Gas Futures 2x Short,natgasf-2xs-indx,,954099,USD,X0C8,global_indices
world,Natural Gas Futures 1x Short,Natural Gas Futures 1x Short,natgasf-1xs-indx,,954098,USD,X0C7,global_indices
world,Natural Gas Futures 2x Long,Natural Gas Futures 2x Long,natgasf-2xl-indx,,954097,USD,X0C6,global_indices
world,Natural Gas Futures 1x Long,Natural Gas Futures 1x Long,natgasf-1xl-indx,,954096,USD,X0C5,global_indices
world,Brent Oil Futures 2x Short,Brent Oil Futures 2x Short,brentf-2xs,,954095,USD,X0C4,global_indices
world,Brent Oil Futures 1x Short,Brent Oil Futures 1x Short,brentf-1xs,,954094,USD,X0C3,global_indices
world,Brent Oil Futures 2x Long,Brent Oil Futures 2x Long,brentf-2xl,,954093,USD,X0C2,global_indices
world,Brent Oil Futures 1x Long,Brent Oil Futures 1x Long,brentf-1xl,,954092,USD,X0C1,global_indices
world,Palladium 2x Short,Palladium 2x Short,palladium-2xs-ix,,954090,USD,X0BV,global_indices
world,Palladium 1x Short,Palladium 1x Short,palladium-1xs-ix,,954089,USD,X0BU,global_indices
world,Palladium 2x Long,Palladium 2x Long,palladium-2xl-ix,,954088,USD,X0BR,global_indices
world,Palladium 1x Long,Palladium 1x Long,palladium-1xl-ix,,954087,USD,X0BQ,global_indices
world,Gold Futures 4x Long,Gold Futures 4x Long,goldf-4xl,,954110,USD,X0CJ,global_indices
world,Platinum 2x Short,Platinum 2x Short,platinum-2xs-idx,,954086,USD,X0BM,global_indices
world,Platinum 2x Long,Platinum 2x Long,platinum-2xl-idx,,954084,USD,X0BI,global_indices
world,Platinum 1x Long,Platinum 1x Long,platinum-1xl-idx,,954083,USD,X0BH,global_indices
world,Cocoa Futures 4x Short,Cocoa Futures 4x Short,cocoaf-4xs,,954082,USD,X0BG,global_indices
world,Cocoa Futures 3x Short,Cocoa Futures 3x Short,cocoaf-3xs,,954081,USD,X0BF,global_indices
world,Cocoa Futures 2x Short,Cocoa Futures 2x Short,cocoaf-2xs,,954080,USD,X0BE,global_indices
world,Cocoa Futures 1x Short,Cocoa Futures 1x Short,cocoaf-1xs,,954079,USD,X0BD,global_indices
world,Cocoa Futures 4x Long,Cocoa Futures 4x Long,cocoaf-4xl,,954078,USD,X0BC,global_indices
world,Cocoa Futures 3x Long,Cocoa Futures 3x Long,cocoaf-3xl,,954077,USD,X0BB,global_indices
world,Cocoa Futures 2x Long,Cocoa Futures 2x Long,cocoaf-2xl,,954076,USD,X0BA,global_indices
world,Cocoa Futures 1x Long,Cocoa Futures 1x Long,cocoaf-1xl,,954075,USD,X0B9,global_indices
world,WTI Oil Futures 4x Short,WTI Oil Futures 4x Short,wtif-4xs,,954074,USD,X0B8,global_indices
world,WTI Oil Futures 3x Short,WTI Oil Futures 3x Short,wtif-3xs,,954073,USD,X0B7,global_indices
world,Platinum 1x Short,Platinum 1x Short,platinum-1xs-idx,,954085,USD,X0BL,global_indices
world,SciBeta Dev Multi-Beta Multi-Strate,SciBeta Dev Multi-Beta Multi-Strategy ERC Net,scibeta-dev-multi-beta-multi-strate,,951708,EUR,SBDXRHMN,global_indices
world,First North Oil & Gas PI,First North Oil & Gas PI,first-north-oil---gas-pi,,957129,SEK,FN0001PI,global_indices
world,EB REXX Jumbo PR,EB REXX Jumbo PR,eb-rexx-jumbo-pr,,951706,EUR,R1JK,global_indices
world,NQ OMX Nordic Construction & Real Estate,NASDAQ OMX Nordic Construction & Real Estate,nq-omx-nordic-construction-re,,957218,EUR,NOMXNCR,global_indices
world,NQ OMX Nordic Consumer,NASDAQ OMX Nordic Consumer,nq-omx-nordic-consumer,,957217,EUR,NOMXNCO,global_indices
world,NQ OMX Nordic Bank & Insurance,NASDAQ OMX Nordic Bank & Insurance,nq-omx-nordic-bank---insurance,,957216,EUR,NOMXNBI,global_indices
world,N  Technology EUR PI,N  Technology EUR PI,n--technology-eur-pi,,957199,SEK,N9000EURPI,global_indices
world,N  Financial Services EUR PI,N  Financial Services EUR PI,n--financial-services-eur-pi,,957198,SEK,N8700EURPI,global_indices
world,N  Real Estate EUR PI,N  Real Estate EUR PI,n--real-estate-eur-pi,,957197,SEK,N8600EURPI,global_indices
world,N  Insurance EUR PI,N  Insurance EUR PI,n--insurance-eur-pi,,957196,SEK,N8500EURPI,global_indices
world,N  Banks EUR PI,N  Banks EUR PI,n--banks-eur-pi,,957195,SEK,N8300EURPI,global_indices
